"Code";"en - English";"et - estonian";"zh-hans - Simplified Chinese";"zh-hant - Traditional Chinese";"fr - French";"de - German";"ja - Japanese";"es - Spanish";"sv - Swedish";"pl - Polish";"pt - Portugese";"pt-BR - Portuguese (Brazil)";"ru - Russian";"ar - Arabic";"bg - Bulgarian";"cs - Czech";"da - Danish";"el - Greek";"fi - Finnish";"hu - Hungarian";"it - Italian";"he - Hebrew";"ko - Korean";"nl - Dutch";"no - Norwegian";"ro - Romanian";"tr - Turkish";"lt - Lithuanian";"lv - Latvian";"uk - Ukrainian ";"th - Thai";"id - Indonesian ";"vi - Vietnamese ";"ca - Catalan";"hr - Croatian";"sk - Slovak";"sl - Slovenian";"sr-Latn - Serbian (latin)";"hi - Hindi"
"sg";"Sangho";"sango";"桑戈语";"桑侯文";"Sangho";"Sango";"サンゴ語";"Sango";"Sango";"Sangho";"Sango";"Sangho";"Санго";"السانجو";"санго";"Sangoština";"Sangho";"Σάνγκο";"Sangho";"Sangho";"Sangho";"סנגואית";"상고어";"Sangho";"Sangho";"Sangho";"Sangho Dili";"sango";"sango";"Санго";"สังโห";"Sango";"Tiếng Sangho";"Sangho";"sangho";"sangho";"sangoščina";"Sango";"संघो"
"sa";"Sanskrit";"sanskriti";"梵语";"梵文";"Sanskrit";"Sanskrit";"サンスクリット語";"Sánscrito";"Sanskrit";"Sanskryt";"Sânscrito";"Sânscrito";"Санскрит";"السنسكريتية";"санскрит";"Sanskrt";"Sanskrit";"Σανσκριτικά";"Sanskriitti";"Szanszkrit";"Sanscrito";"סנסקריט";"산스크리트어";"Sanskriet";"Sanskrit";"Sanscrită";"Sanskritçe";"sanskrito";"sanskritā";"Санскрит";"สันสกฤต";"Sanskerta";"Tiếng Phạn";"Sànscrit";"sanskrt";"sanskrit";"sanskrt	";"Sanskrit";"संस्कृत"
"gd";"Scots Gaelic";"šoti-keldi";"苏格兰盖尔语";"蘇格蘭蓋爾方言";"Gaélique d'Écosse";"Gälisch (Schottland)";"スコットランド・ゲール語";"Gaélico escocés";"Skotsk gaeliska";"Gaelicki (Szkocja)";"Gaélico escocês";"Scots Gaelic";"Гэльский";"السكوتس غاليك";"шотландски";"Skotská gaelština";"Skotsk gælisk";"Σκωτσέζικα Κέλτικα";"Skotlannin gaeli";"Skót kelta";"Gaelico scozzese";"קלטית סקוטית";"스코틀랜드 게일어";"Schots Gaelisch";"Skotsk-gælisk";"Gaelică scoţiană";"İskoçça";"škotų gėlų";"skotu gēlu";"Гельська";"สกอตแกลิก";"Gaelig Skotlandia";"Tiếng Xentơ Scốt-len";"Escocès";"škotski galski";"škótska galčina";"škotska galščina";"Škotski gelski";"स्कॉट्स गेलिक"
"sr";"Serbian";"serbia";"塞尔维亚语";"塞爾維亞文";"Serbe";"Serbisch";"セルビア語";"Serbio";"Serbiska";"Serbski";"Sérvio";"Sérbio";"Сербский";"الصربية";"сръбски";"Srbština";"Serbisk";"Σερβικά";"Serbia";"Szerb";"Serbo";"סרבית";"세르비아어";"Servisch";"Serbisk";"Sârbă";"Sırpça";"serbų";"sebu";"Сербська";"เซอร์เบีย";"Serb";"Tiếng Xéc-bi";"Serbi";"srpski";"srbčina";"srbščina";"Srpski";"सर्बियाई"
"st";"Sesotho";"sotho";"塞梭托语";"賴索托文";"Sesotho";"Sotho";"セスト語";"Sesotho";"Sesotho";"Soto";"Sesotho";"Sesotho";"Сото";"السيسوثو";"сесото";"Sotština";"Sesotho";"Σεσόθο";"Sesotho";"Sesotho";"Sesotho";"ססוטואית";"세소토어";"Sesotho";"Sesotho";"Sesotho";"Sesotho Dili";"sotų";"sesoto";"Сото";"เซโซโท";"Sesotho";"Tiếng Sesotho";"Sotho meridional";"sesotho";"sesothčina";"sesoto";"Sesoto";"सेसोथो"
"tn";"Setswana";"tsvana";"茨瓦纳语";"塞茲瓦納文";"Setswana";"Tsuana";"セツワナ語";"Setsuana";"Setswana";"Tswana";"Setsuana";"Setswana";"Тсвана";"السيتسوانا";"сетсвана";"Čvanština";"Setswana";"Σετσουάνα";"Tswana";"Setswana";"Setswana";"סטסוונאית";"세츠와나어";"Setswana";"Setswana";"Setswana";"Setsvana Dili";"tsvanų";"setsvana";"Тсвана";"เสตสวานา";"Tswana";"Tiếng Setswana";"Tswana";"setswana";"setswančina";"setsvanščina";"Setsvana";"सेत्सवाना"
"sn";"Shona";"šona";"修纳语";"頌哈文";"Shona";"Shona";"ショナ語";"Shona";"Shona";"Sona";"Shona";"Shona";"Шона";"الشونا";"шона";"Šonština";"Shona";"Σόνα";"Shona";"Shona";"Shona";"שונאית";"쇼나어";"Shona";"Shona";"Shona";"Şona Dili";"šonų";"šonu";"Шона";"โชนา";"Shona";"Tiếng Shona";"Algonquí";"shona";"šonština";"šonščina";"Šona";"शोना"
"sd";"Sindhi";"sindhi";"辛地语";"信德文";"Sindhi";"Sindhi";"シンド語";"Sindhi";"Sindhi";"Sindhi";"Sindi";"Sindhi";"Синдхи";"السندية";"синдхи";"Sindhština";"Sindhi";"Σίντι";"Sindhi";"Sindhi";"Sindhi";"סינדהית";"신드어";"Sindhi";"Sindhi";"Sindhi";"Sindi";"sindhų";"sindi";"Сіндхі";"สินธี";"Sindhi";"Tiếng Sindhi";"Sindhi";"sindhski";"sindhčina";"sindščina";"Sindi";"सिंधी"
"si";"Sinhalese";"singali";"僧伽罗语";"錫蘭文";"Singhalais";"Singhalesisch";"シンハラ語";"Cingalés";"Singalesiska";"Syngaleski";"Cingalês";"Sinhalese";"Сингальский";"السنهاليسية";"синхалски";"Sinhálština";"Sinhalesisk";"Σιγκαλεσιανά";"Sinhali";"Szingaléz";"Sinhalese";"סינלזית";"신할리즈어";"Sinhalees";"Singalesisk";"Sinhaleză";"Singalaca";"sinhalų";"singalu";"Сингалезька";"สิงหล";"Sinhala";"Tiếng Sinhalese";"Singalès";"sinhaleški";"sinhálčina";"sinhaleščina";"Sinhalski";"सिंहली"
"ss";"Siswati";"siswati";"史瓦济语";"西斯瓦提文";"Siswati";"Siswati";"シスワティ語";"Suazi";"Siswati";"Siswati";"Suazi";"Siswati";"Сисвати";"السيسواتية";"сисвати";"Siswati";"Siswati";"Σισουάτι";"Swazi";"Siswati";"Siswati";"סיסוואטית";"시스와티어";"Siswati";"Siswati";"Siswati";"Sisvati Dili";"svazių";"sisvati";"Сісваті";"ซิสวาติ";"Swati";"Tiếng Siswati";"Swazi";"siswati";"siswati";"sisvatščina";"Svazi";"सिस्वाती"
"sk";"Slovak";"slovakkia";"斯洛伐克语";"斯洛伐克文";"Slovaque";"Slowakisch";"スロバキア語";"Eslovaco";"Slovakiska";"Słowacki";"Eslovaco";"Eslovaco";"Словацкий";"السلوفاكية";"словашки";"Slovenština";"Slovakisk";"Σλοβάκικα";"Slovakki";"Szlovák";"Slovacco";"סלובקית";"슬로바키아어";"Slowaaks";"Slovakisk";"Slovacă";"Slovakça";"slovakų";"slovaku";"Словацька";"สโลวัค";"Slovak";"Tiếng Xlô-vác";"Eslovac";"slovački";"slovenčina";"slovaščina";"Slovački";"स्लोवाक"
"sl";"Slovenian";"sloveenia";"斯洛文尼亚语";"斯拉維尼亞文";"Slovène";"Slowenisch";"スロベニア語";"Esloveno";"Slovenska";"Słoweński";"Esloveno";"Esloveno";"Словенский";"السلوفينية";"словенски";"Slovinština";"Slovensk";"Σλοβένικα";"Slovenia";"Szlovén";"Sloveno";"סלובנית";"슬로베니아어";"Sloveens";"Slovensk";"Slovenă";"Slovence";"slovėnų";"slovēņu";"Словенська";"สโลวีเนีย";"Sloven";"Tiếng Xlô-ve-nia";"Eslovè";"slovenski";"slovinčina";"slovenščina";"Slovenački";"स्लोवेनियाई"
"so";"Somali";"somaali";"索马里语";"索馬利亞文";"Somali";"Somalisch";"ソマリア語";"Somalí";"Somaliska";"Somalijski";"Somali";"Somali";"Сомалийский";"الصومالية";"сомалийски";"Somálština";"Somali";"Σομαλικά";"Somali";"Szomáli";"Somalo";"סומלית";"소말리어";"Somalisch";"Somali";"Somaleză";"Somalice";"somalių";"somāliešu";"Сомалі";"โซมาเลีย";"Somali";"Tiếng Somali";"Somali";"somalski";"somálčina";"somalščina";"Somalijski";"सोमाली"
"es";"Spanish";"hispaania";"西班牙语";"西班牙文";"Espagnol";"Spanisch";"スペイン語";"Español";"Spanska";"Hiszpański";"Espanhol";"Espanhol";"Испанский";"الأسبانية";"испански";"Španělština";"Spansk";"Ισπανικά";"Espanja";"Spanyol";"Spagnolo";"ספרדית";"스페인어";"Spaans";"Spansk";"Spaniolă";"İspanyolca";"ispanų";"spāņu";"Іспанська";"สเปน";"Spanyol";"Tiếng Tây Ban Nha";"Espanyol";"španjolski";"španielčina";"španščina";"Španski";"स्पैनिश"
"su";"Sundanese";"sunda";"巽他语";"巽丹文";"Soudanais";"Sundanesisch";"スンダ語";"Sundanés";"Sundanesiska";"Sudański";"Sudanês";"Sudanês";"Сунданский";"الصندانية";"сундански";"Sundština";"Sundanesisk";"Σουντανεζικά";"Sunda";"Sundanese";"Sundanese";"סנדניזית";"순다어";"Soedanees";"Sudansk";"Sudaneză";"Sundanezce";"sudaniečių";"sundu";"Суданська";"ซุนดา";"Sunda";"Tiếng Su-đăng";"Sondanès";"sundaneški";"sundčina";"sudanščina";"Sundski";"सूडानी"
"sw";"Swahili";"suahiili";"斯瓦希里语";"史瓦西里文";"Swahili";"Suaheli";"スワヒリ語";"Swahili";"Swahili";"Suahili";"Suaíli";"Swahili";"Суахили";"السواحيلية";"суахили";"Svahilština";"Swahili";"Σουαχίλι";"Swahili";"Szuahéli";"Swahili";"סווהילית";"스와힐리어";"Swahili";"Swahili";"Swahili";"Svahili Dili";"svahilių";"svahili ";"Суахілі";"สวาฮิลี";"Swahili";"Tiếng Swahili";"Suahili";"svahilski";"swahilčina";"svahili";"Svahili";"स्वाहिली"
"sv";"Swedish";"rootsi";"瑞典语";"瑞典文";"Suédois";"Schwedisch";"スウェーデン語";"Sueco";"Svenska";"Szwedzki";"Sueco";"Suéco";"Шведский";"السويدية";"шведски";"Švédština";"Svensk";"Σουηδικά";"Ruotsi";"Svéd";"Svedese";"שוודית";"스웨덴어";"Zweeds";"Svensk";"Suedeză";"İsveççe";"švedų";"zviedru";"Шведська";"สวีเดน";"Swensk";"Tiếng Thụy Điển";"Suec";"švedski";"švédčina";"švedščina";"Švedski";"स्वीडिश"
"tl";"Tagalog";"tagali";"他加洛语";"塔加拉族文";"Tagalog";"Tagalog";"タガログ語";"Tagalog";"Tagalog";"Tagalog";"Tagalog";"Tagalog";"Тагалог";"التاجالوج";"тагалог";"Tagalština";"Tagalog";"Ταγκαλόγκ";"Tagalog";"Tagalog";"Tagalog";"טגלוגית";"타갈로그어";"Tagalog";"Tagalog";"Tagalog";"Tagalog Dili";"tagalų";"tagalu";"Тагалог";"ตากาล็อก";"Tagalog";"Tiếng Tagalog";"Tagàlog";"tagaloški";"tagalogčina";"tagaloščina";"Tagalog";"टैगलॉग"
"tg";"Tajik";"tadžiki";"塔吉克语";"塔吉克文";"Tadjik";"Tadschikisch";"タジク語";"Tayiko";"Tadzjikiska";"Tadżycki";"Tajique";"Tajik";"Таджикский";"الطاجيكية";"таджикски";"Tádžičtina";"Tajik";"Τατζικικά";"Tadžikki";"Tadzsik";"Tajik";"טאיג'יקית";"타지키스탄어";"Tadzjieks  ";"Tadsjikisk";"Tadjikă";"Tacik Dili";"tadžikų";"tadžiku";"Таджицька";"ทาจิค";"Tajik";"Tiếng Tajik";"Tadjik";"tadžički";"tadžičtina";"tadžiščina";"Tadžik";"तजिक"
"ta";"Tamil";"tamili";"泰米尔语";"坦米爾文";"Tamoul";"Tamilisch";"タミル語";"Tamil";"Tamil";"Tamilski";"Tâmil";"Tamil";"Тамил";"التاميل";"тамилски";"Tamilština";"Tamil";"Tαμίλ";"Tamili";"Tamil";"Tamil";"טמילית";"타밀어";"Tamil";"Tamilsk";"Tamil";"Tamilce";"tamilų";"tamilu";"Тамільська";"ทมิฬ";"Tamil";"Tiếng Ta-min";"Tàmil";"tamilski";"tamilčina";"tamilščina";"Tamilski";"तमिल"
"tt";"Tatar";"tatari";"鞑靼语";"韃靼文";"Tatar";"Tatarisch";"タタール語";"Tártaro";"Tatariska";"Tatarski";"Tártaro";"Tatar";"Татарский";"التتارية";"татарски";"Tatarština";"Tatar";"Ταταρικά";"Tataari";"Tatár";"Tataro";"טלרית";"타타르어";"Tatar";"Tatarsk";"Tătară";"Tatarca";"totorių";"tatāru";"Татарська";"ตาตาร์";"Tatar";"Tiếng Tatar";"Tàtar";"tatarski";"tatárčina";"tatarščina";"Tatarski";"तातार"
"te";"Telugu";"telugu";"泰卢固语";"特拉古文";"Telugu";"Telugu";"テルグ語";"Telugú";"Telugu";"Telugu";"Télugo";"Telugu";"Телугу";"التيلوجو";"телугу";"Telugština";"Telugu";"Τελούγκου";"Telugu";"Telugu";"Telugu";"טלגית";"텔루구어";"Telugu";"Telugu";"Telugu";"Telugu Dili";"telugų";"telugu";"Телугу";"เตลุกู";"Telugu";"Tiếng Telugu";"Telugu";"teluški";"telugčina";"teluščina";"Telugu";"तेलुगु"
"th";"Thai";"tai";"泰语";"泰文";"Thai";"Thailändisch";"タイ語";"Tailandés";"Thailändska";"Tajski";"Tailandês";"Tailandês";"Тайский";"التايلاندية";"тайски";"Thajština";"Thai";"Ταϊλανδικά";"Thai";"Thai";"Thai";"תאית";"태국어";"Thais";"Thai";"Thai";"Tayca";"tajų";"taizemiešu";"Тайська";"ไทย";"Thai";"Tiếng Thái Lan";"Tai";"tajski";"thajčina";"tajščina";"Tajlandski";"थाई"
"bo";"Tibetan";"tiibeti";"藏语";"西藏文";"Tibétain";"Tibetisch";"チベット語";"Tibetano";"Tibetanska";"Tybetański";"Tibetano";"Tibetano";"Тибетский";"التبتية";"тибетски";"Tibetština";"Tibetansk";"Θιβετιανά";"Tiibetti";"Tibeti";"Tibetano";"טיבטית";"티베트어";"Tibetaans";"Tibetansk";"Tibetană";"Tibetçe";"tibetiečių";"tibetiešu";"Тибетська";"ทิเบต";"Tibet";"Tiếng Tây Tạng";"Tibetà";"tibetanski";"tibetčina";"tibetanščina";"Tibetanski";"तिब्बती"
"ti";"Tigrinya";"tigrinja";"提格里尼亚语";"提格利尼亞文";"Tigrina";"Tigrinja";"ティグリニャ語";"Tigriña";"Tigrinska";"Tigrinya";"Tigre";"Tigrinya";"Тигринья";"التيجرينية";"тигриня";"Tigriňa";"Tigrinya";"Τιγκρίνυα";"Tigre";"Tigrinya";"Tigrinya";"טיגרינאית";"티그리냐어";"Tigrinya";"Tigrinja";"Tigrinya";"Tigrinya Dili";"tigrajų";"tigrinja";"Тигрінья";"ตีกรินยา";"Tugrinya";"Tiếng Tigrinya";"Tigrinya";"tigrinjski";"tigriňa";"tigrinščina";"Tigrinja";"टिग्रीन्या"
"to";"Tonga";"tonga";"汤加语";"東加文";"Tonga";"Tonga";"トンガ";"Tonga";"Tonga";"Tonga";"Tonga";"Tonga";"Тонга";"تونجا";"тонгански";"Tonžština";"Tonga";"Τόνγκα";"Tonga";"Tonga";"Tonga";"טונגית";"통가어";"Tonga";"Tonga";"Tonga";"Tonga Dili";"tongų";"tongiešu";"Тонґа";"ตองกา";"Tonga";"Tiếng Tonga";"Tongà";"tonganski";"tonga";"tonga";"Tonga";"टोंगा"
"ts";"Tsonga";"tsonga";"聪加语";"頌加文";"Tsonga";"Tsonga";"ツォンガ語";"Tsonga";"Tsonga";"Tsonga";"Tsonga";"Tsonga";"Тсонга";"تسونجا";"тсонга";"Tsonga";"Tsonga";"Tσόνγκα";"Tsonga";"Tsonga";"Tsonga";"טסונגית";"총가어";"Tsonga";"Tsonga";"Tsonga";"Tsonga Dili";"tsongų";"congu";"Тсонга";"ซองกา";"Tsonga";"Tiếng Tsonga";"Tsonga";"tsongaški";"tsonga";"tsonga";"Conga";"सोंगा"
"tr";"Turkish";"türgi";"土尔其语";"土耳其文";"Turc";"Türkisch";"トルコ語";"Turco";"Turkiska";"Turecki";"Turco";"Arabe";"Турецкий";"التركية";"турски";"Turečtina";"Tyrkisk";"Τουρκικά";"Turkki";"Török";"Turco";"טורכית";"터키어";"Turks";"Tyrkisk";"Turcă";"Türkçe";"turkų";"turku";"Турецька";"ตุรกี";"Turki";"Tiếng Thổ Nhĩ Kỳ";"Turc";"turski";"turečtina";"turščina";"Turski";"तुर्की"
"tk";"Turkmen";"türkmeeni";"土库曼语";"土庫曼文";"Türkmène";"Turkmenisch";"トルクメン語";"Turcomano";"Turkmeniska";"Turkmeński";"Turcomano";"Turkmen";"Туркменский";"التركمانية";"туркменски";"Turkménština";"Turkmensk";"Τουρκμενικά";"Turkmen";"Türkmén";"Turkmeno";"טורקמנית";"투르크멘어";"Turkmeens";"Turkmensk";"Turkmenă";"Türkmence";"turkmėnų";"turkmēņu";"Туркменська";"เติร์กเมน";"Turkmen";"Tiếng Tuốc-men";"Turcman";"turkmenski";"turkménčina";"turkmenščina";"Turkmenski";"तुर्कमेन"
"tw";"Twi";"tvii";"契维语";"契維文";"Twi";"Twi";"トウィ語";"Twi";"Ewe";"Twi";"Twi";"Twi";"Тви";"التوي";"тви";"Ťwiština";"Twi";"Τούϊ";"Twi";"Twi";"Twi";"טווית";"트위어";"Twi";"Twi";"Twi";"Twi Dili";"twi";"tvī";"Тві";"ทวิ";"Twi";"Tiếng Twi";"Àkan";"twi";"twi";"tvi";"Čvi";"ट्वी"
"ug";"Uighur";"uiguuri";"维吾尔语";"維吾爾文";"Ouïgour";"Uigurisch";"ウイグル語";"Uigur";"Uiguriska";"Ujgurski";"Uigur";"Uighur";"Уйгурский";"الأوغر";"уйгурски";"Ujgurština";"Uighur";"Ουϊγκούρ";"Uighur";"Uighur";"Uighur";"אוגהורית";"위구르어";"Uighur";"Uigurisk";"Uigură";"Uygurca";"uigūrų";"uiguru";"Уйгурська";"อัยเกอร์";"Uighur";"Tiếng Uighur";"Uigur";"ujgurski";"ujgurčina";"ujgurščina";"Ujgurski";"उइघुर"
"uk";"Ukrainian";"ukraina";"乌克兰语";"烏克蘭文";"Ukrainien";"Ukrainisch";"ウクライナ語";"Ucraniano";"Ukrainska";"Ukraiński";"Ucraniano";"Ucraniano";"Украинский";"الأوكرانية";"украински";"Ukrajinština";"Ukrainsk";"Ουκρανικά";"Ukraina";"Ukrán";"Ucraino";"אוקראינית";"우크라이나어";"Oekraïns";"Ukrainsk";"Ucraineană";"Ukrayna Dili";"ukrainiečių";"ukraiņu";"Українська";"ยูเครน";"Ukraina";"Tiếng Ucraina";"Ucraïnès";"ukrajinski";"ukrajinčina";"ukrajinščina";"Ukrajinski";"यूक्रेनियाई"
"ur";"Urdu";"urdu";"乌尔都语";"烏都文";"Urdu";"Urdu";"ウルドゥー語";"Urdu";"Urdu";"Urdu";"Urdu";"Urdu";"Урду";"الأوردية";"урду";"Urdština";"Urdu";"Ουρντού";"Urdu";"Urdu";"Urdu";"אורדו";"우르두어";"Urdu";"Urdu";"Urdu";"Urdu Dili";"urdu";"urdu";"Урду";"อูรดู";"Urdu";"Tiếng Urdu";"Urdú";"urdu";"urdčina";"urdujščina";"Urdu";"उर्दू"
"uz";"Uzbek";"usbeki";"乌兹别克语";"烏玆別克文";"Uzbek";"Usbekisch";"ウズベク語";"Uzbeko";"Uzbekiska";"Uzbecki";"Usbeque";"Uzbek";"Узбекский";"الأوزبكية";"узбекски";"Uzbečtina";"Usbekisk";"Ουζμπεκικά";"Uzbekki";"Üzbég";"Uzbeco";"אוזבקית";"우즈베크어";"Oezbeeks";"Usbekisk";"Uzbekă";"Özbekçe";"uzbekų";"uzbeku";"Узбецька";"อุซเบกิสถาน";"Uzbek";"Tiếng Uzbek";"Uzbek";"uzbeški";"uzbečtina";"uzbeščina";"Uzbečki";"उज़्बेक"
"vi";"Vietnamese";"vietnami";"越南语";"越南文";"Vietnamien";"Vietnamesisch";"ベトナム語";"Vietnamita";"Vietnamesiska";"Wietnamski";"Vietnamita";"Vietnamita";"Вьетнамский";"الفيتنامية";"виетнамски";"Vietnamština";"Vietnamesisk";"Βιετναμικά";"Vietnam";"Vietnámi";"Vietnamita";"ווייטנאמית";"베트남어";"Vietnamees";"Vietnamesisk";"Vietnameză";"Vietnam Dili";"vietnamiečių";"vjetnamiešu";"В'єтнамська";"เวียดนาม";"Vietnam";"Tiếng Việt";"Vietnamita";"vijetnamski";"vietnamčina";"vietnamščina";"Vijetnamski";"वियतनामी"
"vo";"Volapük";"volapüki";"沃拉普克语";"沃拉普克文";"Volapük";"Volapük";"ヴォラピューク語";"Volapük";"Volapyk";"Volapük";"Volapuque";"Volapuque";"Волапюк";"الفولابك";"волапюк";"Volapük";"Volapyk";"Βολαπούκ";"Volapük";"Volapük";"Volapük";"וולפוקית";"볼라퓌크어";"Volapük";"Volapyk";"Volapük";"Volapük Dili";"volapiuko";"volapiku";"Волапюк";"โวลาปุก";"Volapük";"Tiếng Volapük";"Volapük";"volapük";"volapük";"volapuščina";"Volapik";"वोलापुक"
"cy";"Welsh";"uelsi";"威尔士语";"威爾斯文";"Gallois";"Walisisch";"ウェールズ語";"Galés";"Walesiska";"Walijski";"Galês";"Welsh";"Уэльский";"الويلزية";"уелски";"Velština";"Walisisk";"Ουαλικά";"Kymri";"Walesi";"Gallese";"וולשית";"웨일스어";"Welsh";"Walisisk";"Galeză";"Galce";"valų";"velsiešu";"Валлійська";"เวลช์";"Wales";"Tiếng Welsh";"Gal·lès";"velški";"waleština";"valižanščina";"Velški";"वेल्श"
"wo";"Wolof";"volofi";"沃洛夫语";"沃洛夫文";"Ouolof";"Wolof";"ウォロフ語";"Wolof";"Wolof";"Wolof";"Wolof";"Wolof";"Волоф";"الولوف";"волоф";"Volofština";"Wolof";"Γουόλοφ";"Wolof";"Wolof";"Wolof";"וולופית";"우오로프어";"Wolof";"Wolof";"Wolof";"Wolof Dili";"volofų";"volofu";"Волоф";"โวลอฟ";"Wolof";"Tiếng Wolof";"Wòlof";"volof";"wolofčina";"volof";"Volof";"वोलॉफ़"
"xh";"Xhosa";"koosa";"科萨语";"廓薩文";"Xhosa";"Xhosa";"コーサ語";"Xhosa";"Xhosa";"Xhosa";"Xhosa";"Xhosa";"Коса";"شوسا";"кхоса";"Xhoština";"Xhosa";"Χόσα";"Xhosa";"Xhosa";"Xhosa";"הושית";"코사어";"Xhosa";"Xhosa";"Xhosă";"Xhosa Dili";"kosų";"khosu";"Ксоза";"โคซา";"Xhosa";"Tiếng Bantu";"Xosa";"xhosa";"xhoština";"koščina";"Khosa";"खोसा"
"yi";"Yiddish";"jidiši";"意第绪语";"意第緒文";"Yiddish";"Jiddisch";"イディッシュ語";"Yidis";"Jiddisch";"Jidysz";"Iídiche";"Idiche";"Идиш";"اليديشية";"идиш";"Jidiš";"Jiddisch";"Γίντις";"Jiddiš";"Jiddis";"Yiddish";"אידיש";"이디시어";"Jiddish";"Jiddisk";"Idiş";"Yidçe";"jidiš";"jidišā";"Ідиш";"ยิชดิช";"Yiddish";"Tiếng I-đít";"Jiddisch";"jidiš";"jidiš";"jidiš";"Jidiš";"यहूदी"
"yo";"Yoruba";"joruba";"约鲁巴语";"優魯巴文";"Yoruba";"Joruba";"ヨルバ語";"Yoruba";"Yoruba";"Joruba";"Ioruba";"Yoruba";"Йоруба";"اليوروبا";"йоруба";"Jorubština";"Yoruba";"Γιορούμπα";"Joruba";"Joruba";"Yoruba";"יורובית";"요루바어";"Yoruba";"Joruba";"Yoruba";"Yoruba Dili";"jorubų";"jorubu";"Йоруба";"โยรูบา";"Yoruba";"Tiếng Yoruba";"Ioruba";"joruba";"jorubčina";"joruba";"Joruba";"योरूबा"
"za";"Zhuang";"tšuangi";"壮语";"壯文";"Zhuang";"Zhuang";"チワン語";"Zhuang";"Zhuang";"Zhuang";"Zhuang";"Zhuang";"Чжуанский";"الزوانج";"чжуански";"Čuangština";"Zhuang";"Ζουάνγκ";"Zhuang";"Zhuang";"Zhuang";"זואנגית";"장족어";"Zhuang";"Zhuang";"Zhuang";"Zhuang Dili";"džuangų";"žuangu";"Чжуан";"จ้วง";"Zhuang";"Tiếng Zhuang";"Zhuang";"zhuang";"zhuang";"žuang";"Zuang";"ज़ुआंग"
"zu";"Zulu";"suulu";"祖鲁语";"祖魯文";"Zoulou";"Zulu";"ズールー語";"Zulú";"Zulu";"Zuluski";"Zulu";"Zulu";"Зулу";"الزولو";"зулуски";"Zulu";"Zulu";"Ζουλού";"Zulu";"Zulu";"Zulu";"זולו";"줄루어";"Zulu";"Zulu";"Zulu";"Zulu Dili";"zulų";"zulu";"Зулу";"ซูลู";"Zulu";"Tiếng Zulu";"Zulu";"zulu";"zuluština";"zulujščina";"Zulu";"ज़ुलु"
